Region,Subregion,Locality,Place,CollectingArea,Member,Formation,Order,Family,Subfamily,Tribe,GenusQualifier,Genus,SpeciesQualifier,Species,Subspecies,min_ma,max_ma,n_species,Delete
Tugen Hills,Tugen Hills,Aragai (BPRP 244),NA,NA,Lukeino,Lukeino,Artiodactyla,Bovidae,Aepycerotinae,Aepycerotini,NA,Aepyceros,NA,sp,NA,5.73,6.1,10,NA
Tugen Hills,Tugen Hills,Aragai (BPRP 244),NA,NA,Lukeino,Lukeino,Perissodactyla,Rhinocerotidae,Rhinocerotinae,Dicerotini,NA,Ceratotherium,NA,neumayri,NA,5.73,6.1,10,NA
Tugen Hills,Tugen Hills,Aragai (BPRP 244),NA,NA,Lukeino,Lukeino,Artiodactyla,Suidae,Tetraconodontinae,NA,NA,Conohyus,NA,giganteus,NA,5.73,6.1,10,NA
Tugen Hills,Tugen Hills,Aragai (BPRP 244),NA,NA,Lukeino,Lukeino,Perissodactyla,Equidae,Equinae,Hipparionini,NA,Eurygnathohippus,NA,feibeli,NA,5.73,6.1,10,NA
Tugen Hills,Tugen Hills,Aragai (BPRP 244),NA,NA,Lukeino,Lukeino,Artiodactyla,Hippopotamidae,Hippopotaminae,NA,NA,Hexaprotodon,NA,sp,NA,5.73,6.1,10,NA
Tugen Hills,Tugen Hills,Aragai (BPRP 244),NA,NA,Lukeino,Lukeino,Primates,Hominidae,Homininae,Hominini,NA,Orrorin,NA,tugenensis,NA,5.73,6.1,10,NA
Tugen Hills,Tugen Hills,Aragai (BPRP 244),NA,NA,Lukeino,Lukeino,Primates,Cercopithecidae,Colobinae,NA,NA,Sawecolobus,NA,lukeinoensis,NA,5.73,6.1,10,NA
Tugen Hills,Tugen Hills,Aragai (BPRP 244),NA,NA,Lukeino,Lukeino,Artiodactyla,Suidae,Tetraconodontinae,NA,NA,Sivachoerus,NA,pattersoni,NA,5.73,6.1,10,NA
Tugen Hills,Tugen Hills,Aragai (BPRP 244),NA,NA,Lukeino,Lukeino,Proboscidea,Elephantidae,NA,NA,NA,gen,NA,sp,NA,5.73,6.1,10,NA
Tugen Hills,Tugen Hills,Cheboit (BPRP 29),NA,NA,Lukeino,Lukeino,Proboscidea,Gomphotheriidae,NA,NA,NA,Anancus,NA,kenyensis,NA,5.89,6.14,13,NA
Tugen Hills,Tugen Hills,Cheboit (BPRP 29),NA,NA,Lukeino,Lukeino,Perissodactyla,Chalicotheriidae,Schizotheriinae,NA,NA,Ancylotherium,NA,cheboitense,NA,5.89,6.14,13,NA
Tugen Hills,Tugen Hills,Cheboit (BPRP 29),NA,NA,Lukeino,Lukeino,Perissodactyla,Rhinocerotidae,Aceratheriinae,Teleoceratini,NA,Brachypotherium,NA,lewisi,NA,5.89,6.14,13,NA
Tugen Hills,Tugen Hills,Cheboit (BPRP 29),NA,NA,Lukeino,Lukeino,Perissodactyla,Rhinocerotidae,Rhinocerotinae,Dicerotini,NA,Diceros,NA,praecox,NA,5.89,6.14,13,NA
Tugen Hills,Tugen Hills,Cheboit (BPRP 29),NA,NA,Lukeino,Lukeino,Perissodactyla,Equidae,Equinae,Hipparionini,NA,Eurygnathohippus,NA,sp,NA,5.89,6.14,13,NA
Tugen Hills,Tugen Hills,Cheboit (BPRP 29),NA,NA,Lukeino,Lukeino,Artiodactyla,Hippopotamidae,Hippopotaminae,NA,NA,Hippopotamus,NA,sp,NA,5.89,6.14,13,NA
Tugen Hills,Tugen Hills,Cheboit (BPRP 29),NA,NA,Lukeino,Lukeino,Primates,Hominidae,Homininae,Hominini,NA,Orrorin,NA,tugenensis,NA,5.89,6.14,13,NA
Tugen Hills,Tugen Hills,Cheboit (BPRP 29),NA,NA,Lukeino,Lukeino,Primates,Cercopithecidae,Cercopithecinae,Papionini,NA,Parapapio,NA,lothagamensis,NA,5.89,6.14,13,NA
Tugen Hills,Tugen Hills,Cheboit (BPRP 29),NA,NA,Lukeino,Lukeino,Proboscidea,Elephantidae,Elephantinae,NA,NA,Primelephas,NA,korotorensis,NA,5.89,6.14,13,NA
Tugen Hills,Tugen Hills,Cheboit (BPRP 29),NA,NA,Lukeino,Lukeino,Artiodactyla,Suidae,Tetraconodontinae,NA,NA,Sivachoerus,NA,syrticus,NA,5.89,6.14,13,NA
Tugen Hills,Tugen Hills,Cheboit (BPRP 29),NA,NA,Lukeino,Lukeino,Artiodactyla,Bovidae,Antilopinae,Antilopini,NA,gen,NA,sp,NA,5.89,6.14,13,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 1),NA,NA,Chemeron,Chemeron,Proboscidea,Gomphotheriidae,NA,NA,NA,Anancus,NA,ultimus,NA,5.14,5.14,24,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 1),NA,NA,Chemeron,Chemeron,Perissodactyla,Chalicotheriidae,Schizotheriinae,NA,NA,Ancylotherium,NA,hennigi,NA,5.14,5.14,24,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 1),NA,NA,Chemeron,Chemeron,Perissodactyla,Rhinocerotidae,Aceratheriinae,Teleoceratini,NA,Brachypotherium,NA,lewisi,NA,5.14,5.14,24,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 1),NA,NA,Chemeron,Chemeron,Perissodactyla,Rhinocerotidae,Rhinocerotinae,Dicerotini,NA,Ceratotherium,NA,sp,NA,5.14,5.14,24,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 1),NA,NA,Chemeron,Chemeron,Artiodactyla,Suidae,Tetraconodontinae,NA,NA,Conohyus,NA,giganteus,NA,5.14,5.14,24,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 1),NA,NA,Chemeron,Chemeron,Proboscidea,Deinotheriidae,Deinotheriinae,NA,NA,Deinotherium,NA,bozasi,NA,5.14,5.14,24,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 1),NA,NA,Chemeron,Chemeron,Perissodactyla,Rhinocerotidae,Rhinocerotinae,Dicerotini,NA,Diceros,NA,praecox,NA,5.14,5.14,24,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 1),NA,NA,Chemeron,Chemeron,Proboscidea,Elephantidae,Elephantinae,Elephantini,NA,Elephas,NA,recki,NA,5.14,5.14,24,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 1),NA,NA,Chemeron,Chemeron,Artiodactyla,Giraffidae,Giraffinae,NA,NA,Giraffa,NA,jumae,NA,5.14,5.14,24,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 1),NA,NA,Chemeron,Chemeron,Perissodactyla,Equidae,Equinae,Hipparionini,NA,Hipparion,NA,sp,NA,5.14,5.14,24,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 1),NA,NA,Chemeron,Chemeron,Artiodactyla,Hippopotamidae,Hippopotaminae,NA,NA,Hippopotamus,NA,sp,NA,5.14,5.14,24,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 1),NA,NA,Chemeron,Chemeron,Artiodactyla,Tragulidae,NA,NA,NA,Hyemoschus,NA,aquaticus,NA,5.14,5.14,24,NA
